Index,Time,voltage,velocity
0,0.000000,0,0
1,0.003124,0,0
2,0.005088,0,0
3,0.007067,0,0
4,0.009069,0,0
5,0.011071,0,0
6,0.013073,0,0
7,0.015068,0,0
8,0.017090,0,0
9,0.019070,0,0
10,0.021072,0,0
11,0.023074,0,0
12,0.025067,0,0
13,0.027090,0,0
14,0.029071,0,0
15,0.031073,0,0
16,0.033063,0,0
17,0.035067,0,0
18,0.037069,0,0
19,0.039085,0,0
20,0.041064,0,0
21,0.043066,0,0
22,0.045070,0,0
23,0.047072,0,0
24,0.049086,0,0
25,0.051065,0,0
26,0.053067,0,0
27,0.055070,0,0
28,0.057089,0,0
29,0.059101,0,0
30,0.061091,0,0
31,0.063070,0,0
32,0.065074,0,0
33,0.067064,0,0
34,0.069067,0,0
35,0.071091,0,0
36,0.073070,0,0
37,0.075063,0,0
38,0.077065,0,0
39,0.079067,0,0
40,0.081088,0,0
41,0.083067,0,0
42,0.085071,0,0
43,0.087073,0,0
44,0.089063,0,0
45,0.091084,0,0
46,0.093063,0,0
47,0.095067,0,0
48,0.097069,0,0
49,0.099072,0,0
50,0.101063,0,0
51,0.103092,0,0
52,0.105073,0,0
53,0.107063,0,0
54,0.109065,0,0
55,0.111087,0,0
56,0.113086,0,0
57,0.115067,0,0
58,0.117070,0,0
59,0.119072,0,0
60,0.121063,0,0
61,0.123065,0,0
62,0.125088,0,0
63,0.127067,0,0
64,0.129069,0,0
65,0.131070,0,0
66,0.133072,0,0
67,0.135092,0,0
68,0.137071,0,0
69,0.139073,0,0
70,0.141064,0,0
71,0.143066,0,0
72,0.145090,0,0
73,0.147069,0,0
74,0.149071,0,0
75,0.151073,0,0
76,0.153063,0,0
77,0.155086,0,0
78,0.157066,0,0
79,0.159067,0,0
80,0.161070,0,0
81,0.163072,0,0
82,0.165087,0,0
83,0.167067,0,0
84,0.169089,0,0
85,0.171068,0,0
86,0.173070,0,0
87,0.175063,0,0
88,0.177092,0,0
89,0.179071,0,0
90,0.181073,0,0
91,0.183063,0,0
92,0.185068,0,0
93,0.187084,0,0
94,0.189063,0,0
95,0.191065,0,0
96,0.193599,0,0
97,0.195555,0,0
98,0.197560,0,0
99,0.199584,0,0
100,0.201563,0,0
101,0.203554,0,0
102,0.205556,0,0
103,0.207561,0,0
104,0.209596,0,0
105,0.211581,0,0
106,0.213561,0,0
107,0.215562,0,0
108,0.217556,0,0
109,0.219557,0,0
110,0.221615,0,0
111,0.223554,0,0
112,0.225556,0,0
113,0.227559,0,0
114,0.229561,0,0
115,0.231563,0,0
116,0.233575,0,0
117,0.235554,0,0
118,0.237559,0,0
119,0.239561,0,0
120,0.241563,0,0
121,0.243565,0,0
122,0.245581,0,0
123,0.247562,0,0
124,0.249564,0,0
125,0.251554,0,0
126,0.253580,0,0
127,0.255615,0,0
128,0.257563,0,0
129,0.259554,0,0
130,0.261556,0,0
131,0.263557,0,0
132,0.265559,0,0
133,0.267579,0,0
134,0.269559,0,0
135,0.271561,0,0
136,0.273563,0,0
137,0.275565,0,0
138,0.277590,0,0
139,0.279583,0,0
140,0.281562,0,0
141,0.283554,0,0
142,0.285556,0,0
143,0.287560,0,0
144,0.289705,0,0
145,0.291556,0,0
146,0.293558,0,0
147,0.295560,0,0
148,0.297554,0,0
149,0.299555,0,0
150,0.301670,0,0
151,0.303558,0,0
152,0.305560,0,0
153,0.307565,0,0
154,0.309556,0,0
155,0.311557,0,0
156,0.313580,0,0
157,0.315559,0,0
158,0.317563,0,0
159,0.319554,0,0
160,0.321556,0,0
161,0.323591,0,0
162,0.325576,0,0
163,0.327557,0,0
164,0.329558,0,0
165,0.331560,0,0
166,0.333562,0,0
167,0.335598,0,0
168,0.337585,0,0
169,0.339565,0,0
170,0.341556,0,0
171,0.343557,0,0
172,0.345592,0,0
173,0.347576,0,0
174,0.349555,0,0
175,0.351557,0,0
176,0.353559,0,0
177,0.355560,0,0
178,0.357578,0,0
179,0.359557,0,0
180,0.361559,0,0
181,0.363561,0,0
182,0.365563,0,0
183,0.367672,0,0
184,0.369561,0,0
185,0.371563,0,0
186,0.373555,0,0
187,0.375556,0,0
188,0.377585,0,0
189,0.379563,0,0
190,0.381554,0,0
191,0.383556,0,0
192,0.385559,0,0
193,0.387562,0,0
194,0.389581,0,0
195,0.391560,0,0
196,0.393562,0,0
197,0.395564,0,0
198,0.397557,0,0
199,0.399584,0,0
200,0.401563,0,0
201,0.403565,0,0
202,0.405555,0,0
203,0.407560,0,0
204,0.409583,0,0
205,0.411562,0,0
206,0.413564,0,0
207,0.415554,0,0
208,0.417558,0,0
209,0.419560,0,0
210,0.421577,0,0
211,0.423585,0,0
212,0.425564,0,0
213,0.427557,0,0
214,0.429559,0,0
215,0.431578,0,0
216,0.433558,0,0
217,0.435559,0,0
218,0.437563,0,0
219,0.439565,0,0
220,0.441575,0,0
221,0.443554,0,0
222,0.445556,0,0
223,0.447560,0,0
224,0.449562,0,0
225,0.451563,0,0
226,0.453585,0,0
227,0.455564,0,0
228,0.457556,0,0
229,0.459558,0,0
230,0.461560,0,0
231,0.463585,0,0
232,0.465564,0,0
233,0.467556,0,0
234,0.469558,0,0
235,0.471560,0,0
236,0.473577,0,0
237,0.475556,0,0
238,0.477560,0,0
239,0.479575,0,0
240,0.481555,0,0
241,0.483575,0,0
242,0.485554,0,0
243,0.487558,0,0
244,0.489560,0,0
245,0.491562,0,0
246,0.493583,0,0
247,0.495562,0,0
248,0.497555,0,0
249,0.499557,0,0
250,0.501559,0,0
251,0.503561,0,0
252,0.505584,0,0
253,0.507565,0,0
254,0.509555,0,0
255,0.511558,0,0
256,0.513560,0,0
257,0.515583,0,0
258,0.517554,0,0
259,0.519556,0,0
260,0.521558,0,0
261,0.523560,0,0
262,0.525579,0,0
263,0.527560,0,0
264,0.529561,0,0
265,0.531564,0,0
266,0.533584,0,0
267,0.535563,0,0
268,0.537578,0,0
269,0.539557,0,0
270,0.541559,0,0
271,0.543561,0,0
272,0.545563,0,0
273,0.547597,0,0
274,0.549555,0,0
275,0.551556,0,0
276,0.553558,0,0
277,0.555560,0,0
278,0.557683,0,0
279,0.559560,0,0
280,0.561562,0,0
281,0.563554,0,0
282,0.565556,0,0
283,0.567559,0,0
284,0.569578,0,0
285,0.571557,0,0
286,0.573559,0,0
287,0.575561,0,0
288,0.577554,0,0
289,0.579654,0,0
290,0.581554,0,0
291,0.583556,0,0
292,0.585558,0,0
293,0.587561,0,0
294,0.589583,0,0
295,0.591576,0,0
296,0.593555,0,0
297,0.595558,0,0
298,0.597562,0,0
299,0.599564,0,0
300,0.601574,0,0
301,0.603565,0,0
302,0.605555,0,0
303,0.607559,0,0
304,0.609561,0,0
305,0.611707,0,0
306,0.613561,0,0
307,0.615564,0,0
308,0.617556,0,0
309,0.619558,0,0
310,0.621593,0,0
311,0.623586,0,0
312,0.625554,0,0
313,0.627558,0,0
314,0.629560,0,0
315,0.631562,0,0
316,0.633586,0,0
317,0.635564,0,0
318,0.637557,0,0
319,0.639559,0,0
320,0.641561,0,0
321,0.643578,0,0
322,0.645557,0,0
323,0.647561,0,0
324,0.649564,0,0
325,0.651554,0,0
326,0.653556,0,0
327,0.655575,0,0
328,0.657556,0,0
329,0.659558,0,0
330,0.661560,0,0
331,0.663561,0,0
332,0.665580,0,0
333,0.667561,0,0
334,0.669564,0,0
335,0.671554,0,0
336,0.673556,0,0
337,0.675582,0,0
338,0.677563,0,0
339,0.679565,0,0
340,0.681555,0,0
341,0.683557,0,0
342,0.685580,0,0
343,0.687561,0,0
