Index,Time,voltage,velocity
0,0.000000,-4919,0.136662677
1,0.001981,-781,0.12068323
2,0.003984,-16020,0.0919202119
3,0.005985,-6104,0.0631571934
4,0.007987,-9009,-0.00289121573
5,0.010003,-13647,-0.0444377959
6,0.011986,6634,-0.0806578845
7,0.013988,-8880,-0.147771597
8,0.015979,-1781,-0.180795819
9,0.018014,5458,-0.22873418
10,0.020004,-11777,-0.294782579
11,0.021985,14197,-0.300109059
12,0.023987,-15686,-0.319284379
13,0.025978,-5367,-0.322480291
14,0.027981,-5143,-0.316088498
15,0.029982,3906,-0.320349693
16,0.032009,-17484,-0.317153782
17,0.033988,887,-0.354439199
18,0.035979,16417,-0.376810431
19,0.037981,-3250,-0.374679834
20,0.039984,10914,-0.434336483
21,0.042003,5698,-0.484405428
22,0.043982,-10748,-0.409834623
23,0.045983,-5367,-0.378941029
24,0.047985,-1180,-0.415161103
25,0.049987,-4699,-0.318219095
26,0.051981,-8566,-0.258562475
27,0.054004,1087,-0.33845973
28,0.055983,14468,-0.360830963
29,0.057985,-2358,-0.316088498
30,0.059987,-4776,-0.378941029
31,0.061981,6260,-0.431140572
32,0.064002,-4469,-0.352308601
33,0.065981,-12723,-0.307566136
34,0.067982,-13704,-0.360830963
35,0.069984,3423,-0.322480291
36,0.071988,-15313,-0.247909516
37,0.074002,13937,-0.33845973
38,0.076008,5550,-0.436467052
39,0.077988,5938,-0.385332823
40,0.079978,3020,-0.385332823
41,0.081982,-17731,-0.416226417
42,0.083984,-17731,-0.525951982
43,0.086006,3889,-0.441793561
44,0.087985,3889,-0.344851524
45,0.089987,-3604,-0.374679834
46,0.091980,-3106,-0.397051096
47,0.093982,4982,-0.329937369
48,0.096018,-1100,-0.286260188
49,0.098009,16514,-0.346982121
50,0.099988,13394,-0.334198564
51,0.101980,-3895,-0.240452439
52,0.103982,-4608,-0.266019553
53,0.105984,-13273,-0.291586667
54,0.107998,-11779,-0.145640999
55,0.109989,-15001,-0.0774620026
56,0.111982,14706,-0.149902195
57,0.113983,12028,-0.150967494
58,0.115985,10981,-0.146706298
59,0.117987,9288,-0.264954269
60,0.120008,9339,-0.323545575
61,0.121978,7323,-0.218081206
62,0.123980,-15916,-0.163751066
63,0.125982,-6987,-0.146706298
64,0.127984,5508,-0.0188706703
65,0.130000,12963,0.0780713558
66,0.132002,-16750,0.00989234727
67,0.133982,-3311,-0.0476336889
68,0.135984,-15498,0.0301329885
69,0.137986,403,0.0343941748
70,0.140008,-12030,-0.0593519509
71,0.141978,5040,-0.0614825487
72,0.143980,5799,-0.0199359674
73,0.145982,14586,-0.120073877
74,0.147984,-12743,-0.221277088
75,0.149999,16105,-0.177599922
76,0.151981,-11085,-0.130726844
77,0.153982,17812,-0.15948987
78,0.155984,-16407,-0.129661545
79,0.157986,-6305,-0.0391113125
80,0.159988,3415,-0.0146094812
81,0.162002,-5096,-0.0593519509
82,0.163981,8835,-0.0210012645
83,0.165984,5946,-0.0210012645
84,0.167985,-15419,-0.0625478476
85,0.169987,15989,-0.0806578845
86,0.172020,8819,-0.064678438
87,0.173988,5434,-0.0401766114
88,0.175980,3271,-0.0359154232
89,0.177981,-5974,-0.0263277497
90,0.179983,-9561,0.05783071
91,0.181987,8762,0.0759407654
92,0.184008,-7396,0.0684836805
93,0.186005,-12829,0.130270898
94,0.187984,-617,0.127075016
95,0.189986,-6616,0.0652877912
